"","variables","delta"
"169","weatherVar29",-0.0250430854122179
"170","weatherVar22",-0.0258855454731695
"171","weatherVar38",-0.0272964457213796
"172","weatherVar114",-0.0291730565579797
"173","weatherVar91",-0.029356630368941
"174","weatherVar126",-0.0298260066200093
"175","weatherVar166",-0.0332347598432854
"176","weatherVar124",-0.0333022259254605
"177","weatherVar78",-0.0336045149157904
"178","geodemVar33",-0.0337453842628328
"179","weatherVar60",-0.0341417461247602
"180","weatherVar33",-0.0341670410940189
"181","weatherVar171",-0.0341977565467921
"182","weatherVar4",-0.0343441261743251
"183","weatherVar143",-0.0348998026577227
"184","weatherVar181",-0.0360660645787796
"185","weatherVar85",-0.0366651031767269
"186","weatherVar25",-0.0392511314244963
"187","weatherVar111",-0.0395942528672997
"188","weatherVar135",-0.0397171034093127
"189","weatherVar71",-0.0407022814913027
"190","weatherVar63",-0.0412390687172106
"191","geodemVar26",-0.0433101098183322
"192","weatherVar189",-0.0439638352807386
"193","weatherVar157",-0.0440242245474245
"194","weatherVar1",-0.0458884949533491
"195","weatherVar121",-0.0483986022808445
"196","weatherVar225",-0.049617794195985
"197","weatherVar230",-0.0500750143874029
"198","weatherVar5",-0.0518554106212541
"199","weatherVar2",-0.0527039974947634
"200","geodemVar9",-0.0539836126328801
"201","weatherVar48",-0.0540881090696672
"202","weatherVar160",-0.0557886133746237
"203","weatherVar105",-0.0569420297959873
"204","weatherVar19",-0.0606059956277285
"205","weatherVar185",-0.0609005850099678
"206","weatherVar94",-0.0613051537997258
"207","weatherVar209",-0.0624901947170677
"208","weatherVar18",-0.0632173078672302
"209","weatherVar177",-0.063973987198743
"210","weatherVar205",-0.0696832346032608
"211","weatherVar158",-0.0701768058410757
"212","weatherVar186",-0.0710535384835254
"213","weatherVar12",-0.071716619093344
"214","weatherVar120",-0.0776376522963496
"215","weatherVar108",-0.0778160069950076
"216","weatherVar56",-0.0860844784582433
"217","weatherVar204",-0.088525009159099
"218","geodemVar5",-0.0898956843534293
"219","geodemVar17",-0.0900733957866464
"220","weatherVar153",-0.0930155770015446
"221","weatherVar75",-0.0963503815496196
"222","weatherVar74",-0.104721669023011
"223","geodemVar23",-0.107142942884302
"224","weatherVar90",-0.110984563017304
"225","weatherVar134",-0.11537649719688
"226","weatherVar89",-0.115583989951819
"227","weatherVar196",-0.119448656527776
"228","weatherVar110",-0.120250942202805
"229","weatherVar54",-0.1326396209816
"230","weatherVar194",-0.138840874010526
"231","weatherVar193",-0.167272966423145
"232","weatherVar154",-0.169967918814613
"233","geodemVar3",-0.179204846823083
"234","geodemVar27",-0.18163379281723
"235","weatherVar34",-0.197536763512826
"236","weatherVar199",-0.290188054029194
"237","geodemVar2",-1.55415965612804
